Title,Subartifact,Artifact #,email
RNPK1007 update,Relevant Communications,99.00.14,X
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: 25-Apr-2OL9",Minutes,99.00.19,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: 28-Mar-2019",Minutes,99.00.19,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: 28-Mar-2019",Minutes,99.00.19,
Total Change Order Fee,Invoices,05.04.07,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: 28-Feb-2019",Minutes,99.00.19,
New Formulation,,,
Total Change Order Fee,Financial Agreement,05.04.07,
"Totaf Change Order Fee S 89,49!",Financial Agreement,05.04.07,
Work Order,,05.04.07,
"Total Fee For Study S 890,015",Financial Agreement,05.04.07,
lnvoice 20421627,Invoices,05.04.07,
"Salix RNPK1007 (CA25187) Proiect Status Minutes
Date of Meeting: 22-May-2079",Minutes,99.00.19,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: 09-May-2019",Minutes,99.00.19,
"Salix RNPK10C7 (CA25187) Proiect Status
Date of Meeting: 09-May-2019",Minutes,99.00.19,
Clinical Study Protocol,Protocol,02.01.02,
Principal Investigator Protocol Agreement Page,Protocol Signature Page,05.02.03,
Financial Disclosure Form ,Financial Disclosure Form ,99.00.5,
"Terry E. O'Reilly, M.D., G.P.l. Curriculum Vitae",Curriculum Vitae,99.99.99,
CONTROLLED SUBSTANCE REGISTRATION CERTIFICATE,,,
"Mark J. Allison, M.D., C.P.l. Curriculum Vitae",Curriculum Vitae,99.99.99,
"Danielle Armas, il|.D. Curriculum Vitae",Curriculum Vitae,99.99.99,
"Kelly Black, M.D. Curriculum Vitae",Curriculum Vitae,99.99.99,
"Jeffrey Zacher, M.D. Curriculum Vitae",Curriculum Vitae,99.99.99,
"Tracy Vincent, PA-C Curriculum Vitae",Curriculum Vitae,99.99.99,
"Christa Maharry, FNP-C Curriculum Vitae",Curriculum Vitae,99.99.99,
"John Laabs, M.D., M.P.H Curriculum Vitae",Curriculum Vitae,99.99.99,
"Dr. Weston Young, D.O. Curriculum Vitae",Curriculum Vitae,99.99.99,
IRB Membership Roster,,04.01.03,
PROTOCOL APPROVAL WITH MODIFICATIONS,protocol amendment,02.01.04,
INFORMED CONSENT FORM,INFORMED CONSENT FORM,02.02.03,
Site Qualification Vislt Report,Site Qualification Vislt Report,05.01.04,
Site Initiation Visit,Site Initiation Visit,05.01.04,
Monitoring Visit Report,Monitoring Visit Report,05.04.03,
Close-out Visit Report,Close-out Visit Report,05.04.08,
Investigational product shipment authorization,Investigational product shipment authorization,06.01.04,
Certificate of Accrediation,Certificate of Accreditation,08.01.01,
Certificate of Accrediation,Certificate of Accreditation,08.01.01,
Deviation log,,05.04.06,
Screening Questionnaire/Cuestionario adicional de preselecci6n,,05.04.01,
Laboratory Critical Values List,,08.01.05,
Investigator's brochure update acknowledgement,Investigator's brochure update acknowledgement,02.01.01,
Wingspan Trial Master File Plan,Trial Master File Plan,01.01.01,
Final CRFs from Celerion,Final CRF,02.01.07,
CA25187_RNPK1007_Final CRFs,Final CRF,02.01.07,
Wingspan eTMF Access Request,Wingspan eTMF Access Request,06.06.05,
Celexus Access Requesi,Access Request,06.06.05,
brF\ nnlerion Monitoring Plan - Early Phase,Monitoring Plan - Early Phase,01.01.08,
Regulatory Document Checklist,,03.01.01,
STATEMENT OF INVESTIGATOR  (Form FDA 1572),STATEMENT OF INVESTIGATOR  (Form FDA 1572),05.02.08,
Contact Details,,05.01.01,
CASE REPORT FORM,CASE REPORT FORM,02.01.07,
Data Management Plan,Data Management Plan,10.01.01,
Subject: Final approved RNPK1007 protocol and SIV date availability,,99.00.14,X
Memo 2019 Holiday Closure Listing,,99.00.14,
Key Vendor Personnel Approval,,05.02.06,
Data Transfer Agreement,,10.03.06,
Statistical Analysis Plan,Statistical Analysis Plan,11.01.01,
Database Lock Authorization Form - CA25l8? Page I ofl,,10.03.11,
Standard Celerion CRF Approval,,02.01.07,
Data Management PIan,Data Management PIan,10.01.01,
CLINICAL TRIAL MATERIAL LABEL MASTER,,06.01.03,
FW:Salix RNPK1007 (CA25187) - Proposed Clinical Dates,,99.00.14,X
RE: Celerion budgets for RNPK1007 and RNPKL008,,09.02.03,
Subiect Other notes for meeting,Minutes,99.00.19,
"Total Fee For Study S 764,44L",,05.04.07,
"Total Fee For Study S 929,tGL",,05.04.07,
"RNPK1007 (CA25187) Kick Off Meetine
Date of Meeting: 31-Oct-2018",,01.04.01,
"RNPK1007 (CA25187) Kick Off Meetine
Date of Meeting: 08-Nov-2018",,01.04.01,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: 15-Nov-2018",Minutes,99.00.19,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: 20-Dec-2018",Minutes,99.00.19,
,Minutes,99.00.19,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: 06-Dec-2018",Minutes,99.00.19,
"Salix RNPK1007 (CA251871 Proiect Status
Date of Meeting: 13-Dec-2018",Minutes,99.00.19,
"Salix RNPK1007 (CA251871 Proiect Status
Date of Meeting: 03-Jan-2019",Minutes,99.00.19,
"Salix RNPK1007 (CA251871 Project Status
Date of Meeting: 10Jan-2019",Minutes,99.00.19,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: L7-Jan-2O19",Minutes,99.00.19,
"Salix RNPK1007 (CA251871 Proiect Status
Date of Meeting: 31-Jan-20L9",Minutes,99.00.19,
"Salix RNPK1007 (CA25187) Proiect Status
Date of Meeting: I4-Feb-2079",Minutes,99.00.19,
Proposed Rifaximin SSD PK studies RNPK1007 to RNPK1009.docx,,99.00.14,X
Subiect RE: Salix RNPK1007 (CA25L87/CA25400) - Draft L comments due today,,99.00.14,X
RE: Valeant / Celerion (CA21587): MSA Signed - update?,,99.00.14,X
RE: RNPKL007 PK lab manual and blood collection procedures,,08.01.05,X
"Memo - RE: CAP, CLIA AND LAB NORMALS",,99.00.14,
"RE: RNPK1007, RNPK1008 and RNPK1009",,99.00.14,X
RE:Valeant MSA and WO for PD for RNPK1007 and RNPK1008,,99.00.14,
"Salix RNPKI-007 (CA25187) - Study Design, MSA and Contract have reached a critical
point",,99.00.14,X
Salix RNPK1007 (CA25187/CA25400) - Protocol Timeines,,99.00.14,X
Subject Celerion budget options CA25L87 Salix Pharmaceuticals Inc - need decison by 24,,99.00.14,X
GERTIFICATE OF LIABILITY INSURANCE,,02.01.06,
Key Vendor Personnel Approval,,05.02.06,
Transfer of Regulatory Obligation,,01.01.19,
Trial-specific SOP Plan,,07.01.01,
Key Vendor Personnel Approval,,05.02.06,
CERTIFICATE OF LIABILITY INSURANCE,,02.01.06,
Audit Certificate,,01.01.14,
